date,year,month,market,commodity,unit,currency,price
2016-05-01,2016,5,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2712.0
2016-05-01,2016,5,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2803.0
2016-05-01,2016,5,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2553.0
2016-05-01,2016,5,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2461.0
2016-05-01,2016,5,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2567.0
2016-05-01,2016,5,Garissa,"Maize (White Grain)","per 90kg bag",KES,2954.0
2016-06-01,2016,6,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2424.0
2016-06-01,2016,6,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2405.0
2016-06-01,2016,6,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2037.0
2016-06-01,2016,6,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2151.0
2016-06-01,2016,6,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2170.0
2016-06-01,2016,6,Garissa,"Maize (White Grain)","per 90kg bag",KES,2895.0
2016-07-01,2016,7,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2256.0
2016-07-01,2016,7,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2258.0
2016-07-01,2016,7,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2181.0
2016-07-01,2016,7,Eldoret,"Maize (White Grain)","per 90kg bag",KES,1962.0
2016-07-01,2016,7,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2081.0
2016-07-01,2016,7,Garissa,"Maize (White Grain)","per 90kg bag",KES,2563.0
2016-08-01,2016,8,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2273.0
2016-08-01,2016,8,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2524.0
2016-08-01,2016,8,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2227.0
2016-08-01,2016,8,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2134.0
2016-08-01,2016,8,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2205.0
2016-08-01,2016,8,Garissa,"Maize (White Grain)","per 90kg bag",KES,2721.0
2016-09-01,2016,9,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2426.0
2016-09-01,2016,9,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2610.0
2016-09-01,2016,9,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2344.0
2016-09-01,2016,9,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2361.0
2016-09-01,2016,9,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2340.0
2016-09-01,2016,9,Garissa,"Maize (White Grain)","per 90kg bag",KES,3211.0
2016-10-01,2016,10,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2472.0
2016-10-01,2016,10,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2639.0
2016-10-01,2016,10,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2529.0
2016-10-01,2016,10,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2512.0
2016-10-01,2016,10,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2477.0
2016-10-01,2016,10,Garissa,"Maize (White Grain)","per 90kg bag",KES,3116.0
2016-11-01,2016,11,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2858.0
2016-11-01,2016,11,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2909.0
2016-11-01,2016,11,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2448.0
2016-11-01,2016,11,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2461.0
2016-11-01,2016,11,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2667.0
2016-11-01,2016,11,Garissa,"Maize (White Grain)","per 90kg bag",KES,3007.0
2016-12-01,2016,12,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2994.0
2016-12-01,2016,12,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3262.0
2016-12-01,2016,12,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2834.0
2016-12-01,2016,12,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2861.0
2016-12-01,2016,12,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2907.0
2016-12-01,2016,12,Garissa,"Maize (White Grain)","per 90kg bag",KES,3856.0
2017-01-01,2017,1,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3304.0
2017-01-01,2017,1,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3397.0
2017-01-01,2017,1,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3026.0
2017-01-01,2017,1,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2899.0
2017-01-01,2017,1,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3180.0
2017-01-01,2017,1,Garissa,"Maize (White Grain)","per 90kg bag",KES,3719.0
2017-02-01,2017,2,Nairobi,"Maize (White Grain)","per 90kg bag",KES,4278.0
2017-02-01,2017,2,Mombasa,"Maize (White Grain)","per 90kg bag",KES,4772.0
2017-02-01,2017,2,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3999.0
2017-02-01,2017,2,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3942.0
2017-02-01,2017,2,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3775.0
2017-02-01,2017,2,Garissa,"Maize (White Grain)","per 90kg bag",KES,4843.0
2017-03-01,2017,3,Nairobi,"Maize (White Grain)","per 90kg bag",KES,4190.0
2017-03-01,2017,3,Mombasa,"Maize (White Grain)","per 90kg bag",KES,4707.0
2017-03-01,2017,3,Kisumu,"Maize (White Grain)","per 90kg bag",KES,4312.0
2017-03-01,2017,3,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3984.0
2017-03-01,2017,3,Nakuru,"Maize (White Grain)","per 90kg bag",KES,4115.0
2017-03-01,2017,3,Garissa,"Maize (White Grain)","per 90kg bag",KES,5093.0
2017-04-01,2017,4,Nairobi,"Maize (White Grain)","per 90kg bag",KES,4318.0
2017-04-01,2017,4,Mombasa,"Maize (White Grain)","per 90kg bag",KES,4630.0
2017-04-01,2017,4,Kisumu,"Maize (White Grain)","per 90kg bag",KES,4017.0
2017-04-01,2017,4,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3694.0
2017-04-01,2017,4,Nakuru,"Maize (White Grain)","per 90kg bag",KES,4074.0
2017-04-01,2017,4,Garissa,"Maize (White Grain)","per 90kg bag",KES,4958.0
2017-05-01,2017,5,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2927.0
2017-05-01,2017,5,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3010.0
2017-05-01,2017,5,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2888.0
2017-05-01,2017,5,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2558.0
2017-05-01,2017,5,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2820.0
2017-05-01,2017,5,Garissa,"Maize (White Grain)","per 90kg bag",KES,3308.0
2017-06-01,2017,6,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2473.0
2017-06-01,2017,6,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2604.0
2017-06-01,2017,6,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2409.0
2017-06-01,2017,6,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2482.0
2017-06-01,2017,6,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2477.0
2017-06-01,2017,6,Garissa,"Maize (White Grain)","per 90kg bag",KES,3061.0
2017-07-01,2017,7,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2118.0
2017-07-01,2017,7,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2600.0
2017-07-01,2017,7,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2297.0
2017-07-01,2017,7,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2129.0
2017-07-01,2017,7,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2168.0
2017-07-01,2017,7,Garissa,"Maize (White Grain)","per 90kg bag",KES,2762.0
2017-08-01,2017,8,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2576.0
2017-08-01,2017,8,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2493.0
2017-08-01,2017,8,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2274.0
2017-08-01,2017,8,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2363.0
2017-08-01,2017,8,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2248.0
2017-08-01,2017,8,Garissa,"Maize (White Grain)","per 90kg bag",KES,2802.0
2017-09-01,2017,9,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2661.0
2017-09-01,2017,9,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2720.0
2017-09-01,2017,9,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2567.0
2017-09-01,2017,9,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2345.0
2017-09-01,2017,9,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2607.0
2017-09-01,2017,9,Garissa,"Maize (White Grain)","per 90kg bag",KES,3128.0
2017-10-01,2017,10,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2970.0
2017-10-01,2017,10,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2972.0
2017-10-01,2017,10,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2755.0
2017-10-01,2017,10,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2399.0
2017-10-01,2017,10,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2573.0
2017-10-01,2017,10,Garissa,"Maize (White Grain)","per 90kg bag",KES,3253.0
2017-11-01,2017,11,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3081.0
2017-11-01,2017,11,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2901.0
2017-11-01,2017,11,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2874.0
2017-11-01,2017,11,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2742.0
2017-11-01,2017,11,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2904.0
2017-11-01,2017,11,Garissa,"Maize (White Grain)","per 90kg bag",KES,3495.0
2017-12-01,2017,12,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3191.0
2017-12-01,2017,12,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3367.0
2017-12-01,2017,12,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2904.0
2017-12-01,2017,12,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2985.0
2017-12-01,2017,12,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3002.0
2017-12-01,2017,12,Garissa,"Maize (White Grain)","per 90kg bag",KES,4061.0
2018-01-01,2018,1,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3350.0
2018-01-01,2018,1,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3756.0
2018-01-01,2018,1,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3090.0
2018-01-01,2018,1,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3143.0
2018-01-01,2018,1,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3296.0
2018-01-01,2018,1,Garissa,"Maize (White Grain)","per 90kg bag",KES,4186.0
2018-02-01,2018,2,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3776.0
2018-02-01,2018,2,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3848.0
2018-02-01,2018,2,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3273.0
2018-02-01,2018,2,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3380.0
2018-02-01,2018,2,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3461.0
2018-02-01,2018,2,Garissa,"Maize (White Grain)","per 90kg bag",KES,4294.0
2018-03-01,2018,3,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3287.0
2018-03-01,2018,3,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3818.0
2018-03-01,2018,3,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3258.0
2018-03-01,2018,3,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3233.0
2018-03-01,2018,3,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3377.0
2018-03-01,2018,3,Garissa,"Maize (White Grain)","per 90kg bag",KES,4088.0
2018-04-01,2018,4,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3140.0
2018-04-01,2018,4,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3641.0
2018-04-01,2018,4,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3009.0
2018-04-01,2018,4,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2853.0
2018-04-01,2018,4,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2962.0
2018-04-01,2018,4,Garissa,"Maize (White Grain)","per 90kg bag",KES,3880.0
2018-05-01,2018,5,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2986.0
2018-05-01,2018,5,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3276.0
2018-05-01,2018,5,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2989.0
2018-05-01,2018,5,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2707.0
2018-05-01,2018,5,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2628.0
2018-05-01,2018,5,Garissa,"Maize (White Grain)","per 90kg bag",KES,3549.0
2018-06-01,2018,6,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2714.0
2018-06-01,2018,6,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2833.0
2018-06-01,2018,6,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2671.0
2018-06-01,2018,6,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2561.0
2018-06-01,2018,6,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2453.0
2018-06-01,2018,6,Garissa,"Maize (White Grain)","per 90kg bag",KES,3239.0
2018-07-01,2018,7,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2473.0
2018-07-01,2018,7,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2532.0
2018-07-01,2018,7,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2436.0
2018-07-01,2018,7,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2314.0
2018-07-01,2018,7,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2297.0
2018-07-01,2018,7,Garissa,"Maize (White Grain)","per 90kg bag",KES,3003.0
2018-08-01,2018,8,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2616.0
2018-08-01,2018,8,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2707.0
2018-08-01,2018,8,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2503.0
2018-08-01,2018,8,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2483.0
2018-08-01,2018,8,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2368.0
2018-08-01,2018,8,Garissa,"Maize (White Grain)","per 90kg bag",KES,3074.0
2018-09-01,2018,9,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2823.0
2018-09-01,2018,9,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3325.0
2018-09-01,2018,9,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2508.0
2018-09-01,2018,9,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2698.0
2018-09-01,2018,9,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2649.0
2018-09-01,2018,9,Garissa,"Maize (White Grain)","per 90kg bag",KES,3317.0
2018-10-01,2018,10,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3119.0
2018-10-01,2018,10,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3129.0
2018-10-01,2018,10,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3032.0
2018-10-01,2018,10,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2648.0
2018-10-01,2018,10,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2792.0
2018-10-01,2018,10,Garissa,"Maize (White Grain)","per 90kg bag",KES,3353.0
2018-11-01,2018,11,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2982.0
2018-11-01,2018,11,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3321.0
2018-11-01,2018,11,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2911.0
2018-11-01,2018,11,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2875.0
2018-11-01,2018,11,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2668.0
2018-11-01,2018,11,Garissa,"Maize (White Grain)","per 90kg bag",KES,3909.0
2018-12-01,2018,12,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3369.0
2018-12-01,2018,12,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3918.0
2018-12-01,2018,12,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3125.0
2018-12-01,2018,12,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3191.0
2018-12-01,2018,12,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3630.0
2018-12-01,2018,12,Garissa,"Maize (White Grain)","per 90kg bag",KES,3863.0
2019-01-01,2019,1,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3438.0
2019-01-01,2019,1,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3863.0
2019-01-01,2019,1,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3577.0
2019-01-01,2019,1,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3496.0
2019-01-01,2019,1,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3654.0
2019-01-01,2019,1,Garissa,"Maize (White Grain)","per 90kg bag",KES,4271.0
2019-02-01,2019,2,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3557.0
2019-02-01,2019,2,Mombasa,"Maize (White Grain)","per 90kg bag",KES,4034.0
2019-02-01,2019,2,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3830.0
2019-02-01,2019,2,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3601.0
2019-02-01,2019,2,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3328.0
2019-02-01,2019,2,Garissa,"Maize (White Grain)","per 90kg bag",KES,4479.0
2019-03-01,2019,3,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3803.0
2019-03-01,2019,3,Mombasa,"Maize (White Grain)","per 90kg bag",KES,4221.0
2019-03-01,2019,3,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3535.0
2019-03-01,2019,3,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3391.0
2019-03-01,2019,3,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3252.0
2019-03-01,2019,3,Garissa,"Maize (White Grain)","per 90kg bag",KES,4107.0
2019-04-01,2019,4,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3312.0
2019-04-01,2019,4,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3642.0
2019-04-01,2019,4,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3247.0
2019-04-01,2019,4,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3016.0
2019-04-01,2019,4,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2996.0
2019-04-01,2019,4,Garissa,"Maize (White Grain)","per 90kg bag",KES,3780.0
2019-05-01,2019,5,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3019.0
2019-05-01,2019,5,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3506.0
2019-05-01,2019,5,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2757.0
2019-05-01,2019,5,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2904.0
2019-05-01,2019,5,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3061.0
2019-05-01,2019,5,Garissa,"Maize (White Grain)","per 90kg bag",KES,3962.0
2019-06-01,2019,6,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2872.0
2019-06-01,2019,6,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3217.0
2019-06-01,2019,6,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2705.0
2019-06-01,2019,6,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2584.0
2019-06-01,2019,6,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2647.0
2019-06-01,2019,6,Garissa,"Maize (White Grain)","per 90kg bag",KES,3585.0
2019-07-01,2019,7,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2760.0
2019-07-01,2019,7,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2923.0
2019-07-01,2019,7,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2888.0
2019-07-01,2019,7,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2466.0
2019-07-01,2019,7,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2585.0
2019-07-01,2019,7,Garissa,"Maize (White Grain)","per 90kg bag",KES,3171.0
2019-08-01,2019,8,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2709.0
2019-08-01,2019,8,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3225.0
2019-08-01,2019,8,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2782.0
2019-08-01,2019,8,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2399.0
2019-08-01,2019,8,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2555.0
2019-08-01,2019,8,Garissa,"Maize (White Grain)","per 90kg bag",KES,3280.0
2019-09-01,2019,9,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3100.0
2019-09-01,2019,9,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3071.0
2019-09-01,2019,9,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2625.0
2019-09-01,2019,9,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2582.0
2019-09-01,2019,9,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2848.0
2019-09-01,2019,9,Garissa,"Maize (White Grain)","per 90kg bag",KES,3532.0
2019-10-01,2019,10,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3129.0
2019-10-01,2019,10,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3231.0
2019-10-01,2019,10,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2818.0
2019-10-01,2019,10,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2638.0
2019-10-01,2019,10,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2971.0
2019-10-01,2019,10,Garissa,"Maize (White Grain)","per 90kg bag",KES,3696.0
2019-11-01,2019,11,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3396.0
2019-11-01,2019,11,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3639.0
2019-11-01,2019,11,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3112.0
2019-11-01,2019,11,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3202.0
2019-11-01,2019,11,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3086.0
2019-11-01,2019,11,Garissa,"Maize (White Grain)","per 90kg bag",KES,3752.0
2019-12-01,2019,12,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3537.0
2019-12-01,2019,12,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3810.0
2019-12-01,2019,12,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3167.0
2019-12-01,2019,12,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3380.0
2019-12-01,2019,12,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3466.0
2019-12-01,2019,12,Garissa,"Maize (White Grain)","per 90kg bag",KES,4200.0
2020-01-01,2020,1,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3784.0
2020-01-01,2020,1,Mombasa,"Maize (White Grain)","per 90kg bag",KES,4269.0
2020-01-01,2020,1,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3996.0
2020-01-01,2020,1,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3628.0
2020-01-01,2020,1,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3625.0
2020-01-01,2020,1,Garissa,"Maize (White Grain)","per 90kg bag",KES,4487.0
2020-02-01,2020,2,Nairobi,"Maize (White Grain)","per 90kg bag",KES,4037.0
2020-02-01,2020,2,Mombasa,"Maize (White Grain)","per 90kg bag",KES,4151.0
2020-02-01,2020,2,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3867.0
2020-02-01,2020,2,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3774.0
2020-02-01,2020,2,Nakuru,"Maize (White Grain)","per 90kg bag",KES,4130.0
2020-02-01,2020,2,Garissa,"Maize (White Grain)","per 90kg bag",KES,4957.0
2020-03-01,2020,3,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3995.0
2020-03-01,2020,3,Mombasa,"Maize (White Grain)","per 90kg bag",KES,4025.0
2020-03-01,2020,3,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3781.0
2020-03-01,2020,3,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3405.0
2020-03-01,2020,3,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3690.0
2020-03-01,2020,3,Garissa,"Maize (White Grain)","per 90kg bag",KES,4602.0
2020-04-01,2020,4,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3413.0
2020-04-01,2020,4,Mombasa,"Maize (White Grain)","per 90kg bag",KES,4107.0
2020-04-01,2020,4,Kisumu,"Maize (White Grain)","per 90kg bag",KES,3457.0
2020-04-01,2020,4,Eldoret,"Maize (White Grain)","per 90kg bag",KES,3025.0
2020-04-01,2020,4,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3419.0
